symbol,date,broker,buy_qty,buy_amount,sell_qty,sell_amount,net_amount,total_turnover,dominance_ratio,dominant_flag,market_phase,strong_accumulation,circular_flag,cluster_flag
AHPC,2024-11-21,42.0,146.0,40427.4,0.0,0.0,40427.4,2472966.3,0.016347735915366094,False,Neutral,False,False,True
AHPC,2024-11-21,44.0,40.0,11076.0,0.0,0.0,11076.0,2472966.3,0.004478831757634546,False,Neutral,False,False,True
AHPC,2024-11-21,45.0,0.0,0.0,1500.0,414630.0,-414630.0,2472966.3,-0.1676650425846887,False,Neutral,False,False,False
AHPC,2024-11-21,48.0,1220.0,335640.0,0.0,0.0,335640.0,2472966.3,0.1357236449198681,False,Neutral,False,False,True
AHPC,2024-11-21,49.0,172.0,47472.0,1006.0,277987.4,-230515.40000000002,2472966.3,-0.09321412912096701,False,Neutral,False,False,True
AHPC,2024-11-21,52.0,50.0,13820.0,0.0,0.0,13820.0,2472966.3,0.005588430380147114,False,Neutral,False,False,True
AHPC,2024-11-21,54.0,300.0,82950.0,0.0,0.0,82950.0,2472966.3,0.03354271346115797,False,Neutral,False,False,True
AHPC,2024-11-21,56.0,0.0,0.0,299.0,82613.7,-82613.7,2472966.3,-0.03340672293027204,False,Neutral,False,False,True
AHPC,2024-11-21,57.0,0.0,0.0,572.0,158272.0,-158272.0,2472966.3,-0.06400087215098726,False,Neutral,False,False,True
AHPC,2024-11-21,58.0,220.0,60534.0,2020.0,558182.8,-497648.80000000005,2472966.3,-0.20123557688594465,False,Neutral,False,False,True
AHPC,2024-11-21,62.0,1719.0,474877.7,0.0,0.0,474877.7,2472966.3,0.1920275662470613,False,Neutral,False,False,True
AHPC,2024-11-25,3.0,0.0,0.0,2000.0,561400.0,-561400.0,14587607.1,-0.038484721733422614,False,Neutral,False,False,False
AHPC,2024-11-25,4.0,0.0,0.0,2500.0,699900.0,-699900.0,14587607.1,-0.04797908218956624,False,Neutral,False,False,False
AHPC,2024-11-25,5.0,0.0,0.0,800.0,221600.0,-221600.0,14587607.1,-0.015190976729829803,False,Neutral,False,False,True
AHPC,2024-11-25,6.0,1636.0,456604.0,805.0,224200.0,232404.0,14587607.1,0.01593160539674804,False,Neutral,False,False,True
AHPC,2024-11-25,13.0,0.0,0.0,1064.0,297114.0,-297114.0,14587607.1,-0.020367562545607634,False,Neutral,False,False,False
AHPC,2024-11-25,14.0,500.0,139200.0,0.0,0.0,139200.0,14587607.1,0.009542346393467096,False,Neutral,False,False,True
AHPC,2024-11-25,16.0,0.0,0.0,600.0,168000.0,-168000.0,14587607.1,-0.011516624957632702,False,Neutral,False,False,True
AHPC,2024-11-25,17.0,0.0,0.0,100.0,28000.0,-28000.0,14587607.1,-0.0019194374929387837,False,Neutral,False,False,False
AHPC,2024-11-25,18.0,0.0,0.0,86.0,24338.0,-24338.0,14587607.1,-0.0016684024893980041,False,Neutral,False,False,False
AHPC,2024-11-25,19.0,0.0,0.0,100.0,28100.0,-28100.0,14587607.1,-0.0019262926268421364,False,Neutral,False,False,False
AHPC,2024-11-25,21.0,0.0,0.0,2418.0,677240.0,-677240.0,14587607.1,-0.046425708847066496,False,Neutral,False,False,False
AHPC,2024-11-25,22.0,814.0,227029.0,14.0,3829.0,223200.0,14587607.1,0.015300658872283447,False,Neutral,False,True,True
AHPC,2024-11-25,25.0,320.0,89280.0,100.0,28000.0,61280.0,14587607.1,0.004200826055974595,False,Neutral,False,False,True
AHPC,2024-11-25,26.0,15321.0,4299570.7,859.0,239615.0,4059955.7,14587607.1,0.27831539965180446,True,Neutral,False,True,True
AHPC,2024-11-25,28.0,500.0,140000.0,20.0,5600.0,134400.0,14587607.1,0.009213299966106162,False,Neutral,False,True,True
AHPC,2024-11-25,29.0,0.0,0.0,2300.0,641000.0,-641000.0,14587607.1,-0.04394140832049144,False,Neutral,False,False,False
AHPC,2024-11-25,33.0,0.0,0.0,322.0,89838.0,-89838.0,14587607.1,-0.006158515196094088,False,Neutral,False,False,False
AHPC,2024-11-25,34.0,1180.0,328040.0,1000.0,279900.0,48140.0,14587607.1,0.0033000614610740374,False,Neutral,False,True,True
AHPC,2024-11-25,38.0,214.0,59278.0,1945.0,548084.3,-488806.30000000005,14587607.1,-0.033508326393024396,False,Neutral,False,False,True
AHPC,2024-11-25,39.0,0.0,0.0,30.0,8460.0,-8460.0,14587607.1,-0.0005799443282236468,False,Neutral,False,False,False
AHPC,2024-11-25,40.0,0.0,0.0,1000.0,280000.0,-280000.0,14587607.1,-0.019194374929387838,False,Neutral,False,False,False
AHPC,2024-11-25,41.0,600.0,168000.0,0.0,0.0,168000.0,14587607.1,0.011516624957632702,False,Neutral,False,False,True
AHPC,2024-11-25,42.0,330.0,92086.0,1204.0,338426.0,-246340.0,14587607.1,-0.016886936857519286,False,Neutral,False,False,True
AHPC,2024-11-25,43.0,464.0,129920.0,131.0,36794.8,93125.2,14587607.1,0.0063838571577651,False,Neutral,False,True,True
AHPC,2024-11-25,44.0,200.0,55800.0,5236.0,1473464.0,-1417664.0,14587607.1,-0.09718276549962743,False,Neutral,False,False,True
AHPC,2024-11-25,45.0,0.0,0.0,2160.0,604020.0,-604020.0,14587607.1,-0.04140637980303158,False,Neutral,False,False,False
AHPC,2024-11-25,46.0,0.0,0.0,1410.0,396210.0,-396210.0,14587607.1,-0.027160726038474123,False,Neutral,False,False,False
AHPC,2024-11-25,47.0,0.0,0.0,1000.0,280000.0,-280000.0,14587607.1,-0.019194374929387838,False,Neutral,False,False,False
AHPC,2024-11-25,48.0,0.0,0.0,3460.0,964770.0,-964770.0,14587607.1,-0.0661362753593768,False,Neutral,False,False,True
AHPC,2024-11-25,49.0,0.0,0.0,200.0,56400.0,-56400.0,14587607.1,-0.0038662955214909785,False,Neutral,False,False,True
AHPC,2024-11-25,50.0,0.0,0.0,200.0,56360.0,-56360.0,14587607.1,-0.0038635534679296374,False,Neutral,False,False,False
AHPC,2024-11-25,51.0,0.0,0.0,100.0,28200.0,-28200.0,14587607.1,-0.0019331477607454892,False,Neutral,False,False,False
AHPC,2024-11-25,52.0,0.0,0.0,500.0,140600.0,-140600.0,14587607.1,-0.009638318268114036,False,Neutral,False,False,True
AHPC,2024-11-25,53.0,0.0,0.0,1074.0,300514.0,-300514.0,14587607.1,-0.02060063709832163,False,Neutral,False,False,False
AHPC,2024-11-25,54.0,0.0,0.0,20.0,5580.0,-5580.0,14587607.1,-0.0003825164718070862,False,Neutral,False,False,True
AHPC,2024-11-25,55.0,0.0,0.0,900.0,253600.0,-253600.0,14587607.1,-0.017384619578902697,False,Neutral,False,False,False
AHPC,2024-11-25,56.0,900.0,251100.0,4786.0,1342866.0,-1091766.0,14587607.1,-0.07484202121127871,False,Neutral,False,True,True
AHPC,2024-11-25,57.0,2000.0,558300.0,860.0,241600.0,316700.0,14587607.1,0.021710209071918313,False,Neutral,False,True,True
AHPC,2024-11-25,58.0,27077.0,7593399.4,3323.0,932456.0,6660943.4,14587607.1,0.45661658929654064,True,Neutral,False,True,True
AHPC,2024-11-25,60.0,0.0,0.0,516.0,143448.0,-143448.0,14587607.1,-0.009833552481681523,False,Neutral,False,False,False
AHPC,2024-11-25,62.0,0.0,0.0,470.0,132040.0,-132040.0,14587607.1,-0.009051518805987036,False,Neutral,False,False,True
AHPC,2024-11-25,63.0,0.0,0.0,810.0,226800.0,-226800.0,14587607.1,-0.015547443692804148,False,Neutral,False,False,False
AHPC,2024-11-25,64.0,0.0,0.0,1033.0,289240.0,-289240.0,14587607.1,-0.019827789302057634,False,Neutral,False,False,False
AHPC,2024-11-25,66.0,0.0,0.0,300.0,83700.0,-83700.0,14587607.1,-0.005737747077106292,False,Neutral,False,False,False
AHPC,2024-11-25,72.0,0.0,0.0,1000.0,280000.0,-280000.0,14587607.1,-0.019194374929387838,False,Neutral,False,False,False
AHPC,2024-11-25,74.0,0.0,0.0,900.0,252000.0,-252000.0,14587607.1,-0.017274937436449055,False,Neutral,False,False,False
AHPC,2024-11-25,75.0,0.0,0.0,200.0,56500.0,-56500.0,14587607.1,-0.0038731506553943314,False,Neutral,False,False,False
AHPC,2024-11-25,77.0,0.0,0.0,2000.0,561800.0,-561800.0,14587607.1,-0.03851214226903602,False,Neutral,False,False,False
AHPC,2024-11-25,90.0,0.0,0.0,200.0,56000.0,-56000.0,14587607.1,-0.0038388749858775674,False,Neutral,False,False,False
AKJCL,2024-11-21,1.0,0.0,0.0,84.0,17932.0,-17932.0,2591813.6,-0.0069187074255648625,False,Neutral,False,False,True
AKJCL,2024-11-21,4.0,0.0,0.0,50.0,10695.0,-10695.0,2591813.6,-0.004126454155499454,False,Neutral,False,False,True
AKJCL,2024-11-21,5.0,50.0,10650.0,0.0,0.0,10650.0,2591813.6,0.004109091795798895,False,Neutral,False,False,True
AKJCL,2024-11-21,7.0,200.0,42800.0,200.0,42780.0,20.0,2591813.6,7.716604311359427e-06,False,Neutral,False,False,True
AKJCL,2024-11-21,11.0,200.0,42600.0,0.0,0.0,42600.0,2591813.6,0.01643636718319558,False,Neutral,False,False,True
AKJCL,2024-11-21,13.0,2888.0,616832.0,600.0,127800.0,489032.0,2591813.6,0.1886833219796362,False,Neutral,False,True,True
AKJCL,2024-11-21,21.0,100.0,21340.0,744.0,158616.0,-137276.0,2591813.6,-0.05296522867230884,False,Neutral,False,False,True
