symbol,trade_count,total_quantity,total_value,avg_rate,vwap
NRN,1986.0,361373.0,358271564.2,993.6788519637463,991.4176327506482
NSIF2,11.0,3960.0,42050.1,10.59909090909091,10.618712121212122
NTC,480.0,50861.0,49321005.199999996,969.3279166666667,969.7214997738935
NUBL,178.0,16166.0,11848142.7,732.9426966292135,732.9050290733638
NWCL,172.0,6884.0,7135096.0,1035.2494186046513,1036.4753050552004
NYADI,208.0,9492.0,3149381.8,331.7129807692308,331.7932785503582
OHL,72.0,2942.0,2733529.0,930.0277777777778,929.1397008837525
PBD85,2.0,100.0,107000.0,1070.0,1070.0
PBD88,2.0,50.0,55600.0,1112.0,1112.0
PBLD84,4.0,175.0,193900.0,1105.75,1108.0
PCBL,406.0,109584.0,29670411.0,270.715763546798,270.75495510293473
PFL,947.0,172941.0,128189208.0,740.9485744456177,741.2308706437456
PHCL,924.0,430624.0,239277325.60000002,553.4945887445888,555.6525544326373
PMHPL,96.0,10913.0,3010968.2,276.6427083333333,275.9065518189316
PMLI,229.0,8757.0,4888367.4,557.8393013100438,558.2239808153478
PPCL,89.0,21113.0,5659980.6,268.461797752809,268.080358073225
PPL,211.0,10492.0,5341281.8,510.5587677725118,509.0813762866946
PRIN,74.0,3306.0,3207518.0,970.5743243243244,970.2111312764671
PROFL,857.0,119102.0,83488982.30000001,701.7705950991831,700.9872403486089
PRSF,9.0,1900.0,19512.0,10.273333333333333,10.269473684210526
PRVU,622.0,128154.0,30074867.8,234.5056270096463,234.6775582502302
PSF,70.0,333280.0,3491137.6,10.444285714285712,10.475088814210274
RADHI,375.0,70118.0,27045957.7,385.38693333333333,385.7206095439117
RAWA,263.0,21113.0,16886028.4,800.4304182509507,799.7929427367025
RBCL,76.0,918.0,15675841.2,17082.848684210527,17076.07973856209
RBCLPO,23.0,440.0,5411000.0,12375.147826086957,12297.727272727272
RFPL,569.0,222826.0,176588638.8,802.3927943760984,792.4956638812347
RHGCL,216.0,15668.0,7030061.2,447.68009259259264,448.6891243298443
RHPL,1868.0,526327.0,242072741.10000002,459.4102248394004,459.92841161483267
RIDI,414.0,170921.0,40401019.7,236.48357487922704,236.372474418006
RLFL,604.0,85173.0,59563812.8,697.7827814569537,699.3274018761814
RMF1,19.0,77200.0,727974.0,9.449473684210524,9.429715025906736
RMF2,4.0,1000.0,9600.0,9.6,9.6
RNLI,774.0,48334.0,24631420.9,509.7589147286822,509.6085757437828
RSDC,121.0,13451.0,10111447.100000001,750.6363636363636,751.7245632294997
RURU,107.0,7500.0,5502749.0,732.4355140186918,733.6998666666667
SADBL,342.0,113517.0,52063408.2,458.1599415204679,458.63974735061714
SAEF,34.0,87640.0,978338.4,11.15411764705882,11.163149246919215
SAGF,18.0,30800.0,313708.0,10.13888888888889,10.185324675324676
SAHAS,984.0,147575.0,76696093.0,519.0420731707318,519.709252922243
SALICO,197.0,19865.0,14431277.600000001,726.5527918781727,726.467535867103
SAMAJ,65.0,917.0,3339540.7,3636.8846153846152,3641.8110141766633
SAND2085,1.0,25.0,26902.499999999996,1076.1,1076.1
SANIMA,414.0,183455.0,57744762.10000001,315.1004830917874,314.762541767736
SAPDBL,1009.0,165937.0,145309526.20000002,873.8530227948464,875.6909321007371
SARBTM,441.0,46077.0,34722896.8,753.0977324263039,753.584148273542
SBCF,14.0,127380.0,1248127.0,9.742857142857142,9.798453446380908
SBD87,3.0,300.0,309600.0,1032.0,1032.0
SBI,272.0,180713.0,83469882.8,461.01139705882355,461.89196571359
SBID83,6.0,260.0,293396.0,1123.3,1128.446153846154
SBL,201.0,60722.0,19670371.700000003,324.16616915422884,323.94143308850175
SBLD2082,4.0,100.0,107500.0,1075.0,1075.0
SCB,601.0,106491.0,81118234.6,761.5326123128119,761.737936539238
SDBD87,19.0,740.0,786932.0,1068.1894736842105,1063.4216216216216
SEF,27.0,134566.0,1334406.0,9.86111111111111,9.91636817621093
SFCL,1356.0,188984.0,150382899.0,794.779424778761,795.7440788638191
