symbol,date,total_score,avg_dominance,avg_price,weighted_rolling_price,weighted_expanding_price,next_day_price,next_day_return
BGWT,2024-11-21,13,0.0,1038.0076923076924,1037.7415296649237,1037.335244266093,1002.3179487179488,-0.034382927847479094
BGWT,2024-11-25,19,0.0,1002.3179487179488,1003.3004282778901,1002.0435921728772,,
BHDC,2024-11-21,42,-7.434529182757744e-19,660.8466666666667,660.6198489241548,660.2964184200636,645.7727272727273,-0.022810040746627215
BHDC,2024-11-25,35,1.5333716439437848e-18,645.7727272727273,646.0287371049086,651.856755717136,,
BHL,2024-11-21,18,-3.0612767223120124e-18,384.5310344827586,384.2645652516733,384.2939676402455,369.33,-0.039531359291210134
BHL,2024-11-25,22,2.0816681711721684e-18,369.33,369.5097136402947,373.7634697149828,,
BHPL,2024-11-21,19,1.8260247115545337e-18,800.106976744186,800.4209517376727,802.4273482612346,776.6540540540541,-0.029312233703506867
BHPL,2024-11-25,22,-1.460819769243627e-18,776.6540540540541,776.6054069414892,786.1491291104413,,
BNHC,2024-11-21,40,0.0,521.0472222222222,520.5935234255162,519.0917658186021,515.0677419354839,-0.01147588938529663
BNHC,2024-11-25,52,0.0,515.0677419354839,514.7914934225979,516.5921675368129,,
BNL,2024-11-21,7,0.0,16433.0,16383.866666666667,16383.866666666667,,
BNT,2024-11-21,7,0.0,14152.0,14154.791666666666,14156.028703703705,13970.05,-0.012856840022611697
BNT,2024-11-25,5,0.0,13970.05,13931.035,14019.143787172972,,
BPCL,2024-11-21,16,0.0,443.41875,443.6958733064452,444.28071673911165,443.56666666666666,0.00033358234550675685
BPCL,2024-11-25,23,-1.32169407693471e-18,443.56666666666666,443.6960388703334,443.22822330552253,,
C30MF,2024-11-25,3,0.0,9.31,9.39257142857143,9.39257142857143,,
CBBL,2024-11-21,24,0.0,974.2583333333333,974.3843880106555,974.6147915166271,961.9681159420292,-0.01261494715601184
CBBL,2024-11-25,48,3.5388358909926865e-18,961.9681159420292,961.7183819973238,962.1007793609372,,
CCBD88,2024-11-25,3,0.0,1096.1,1111.4304904051173,1110.0633998790079,,
CFCL,2024-11-21,58,0.0,688.2898876404495,688.0151562659144,687.4608244718597,692.5648148148148,0.006210939970395801
CFCL,2024-11-25,58,-5.867447051098024e-19,692.5648148148148,692.2670026304206,688.5100047622568,,
CGH,2024-11-21,72,-8.2793620444347615e-19,954.9064516129033,955.0074975928984,955.906701708608,949.2653846153846,-0.005907455110383366
CGH,2024-11-25,42,1.1564823173178713e-18,949.2653846153846,949.6114900902404,949.2061559763368,,
CHCL,2024-11-21,50,8.673617379884035e-19,576.0490566037736,576.4216951575462,578.2155175678536,588.6115044247788,0.021807947911710743
CHCL,2024-11-25,78,-1.7842870038618585e-18,588.6115044247788,588.5414909413531,595.7753139240166,,
CHDC,2024-11-21,18,-1.206764157201257e-18,1650.6775000000002,1649.9535574494344,1654.9957661016203,1645.5975609756097,-0.0030774872889407947
CHDC,2024-11-25,36,7.142979018728029e-19,1645.5975609756097,1645.9724941792233,1639.4164252447054,,
CHL,2024-11-21,28,1.734723475976807e-18,380.1857142857143,379.95875543987694,379.42603713028586,378.89387755102047,-0.0033979097218866405
CHL,2024-11-25,40,1.9909894440188354e-18,378.89387755102047,378.7833649410553,377.3176126317556,,
CIT,2024-11-21,34,-1.5084551965015713e-18,2173.609523809524,2175.2174419964035,2174.8604574987708,2169.55737704918,-0.0018642477942597683
CIT,2024-11-25,48,4.785444071660157e-19,2169.55737704918,2169.460550011006,2170.842344669722,,
CITY,2024-11-21,24,-6.938893903907228e-18,905.9690476190475,905.8450941837493,904.0568413667593,905.344827586207,-0.0006890081228282817
CITY,2024-11-25,34,2.047937436917064e-18,905.344827586207,905.3694757468344,894.9117971755469,,
CKHL,2024-11-21,32,0.0,700.6127659574469,700.3312017383248,698.0308203952097,695.6642857142857,-0.007063074616401884
CKHL,2024-11-25,26,0.0,695.6642857142857,695.9375223832436,699.1785198283065,,
CLI,2024-11-21,54,-2.125036258071589e-18,674.8361111111111,674.7706341011418,673.7078367997624,676.8253164556961,0.0029476865743147548
CLI,2024-11-25,66,-9.856383386231859e-21,676.8253164556961,676.926992910198,673.7837892050294,,
CMF1,2024-11-21,7,-1.586032892321652e-17,10.882,10.980790083814217,10.99390159878131,10.622222222222222,-0.023872245706467368
CMF1,2024-11-25,3,1.1102230246251566e-17,10.622222222222222,10.667223632046886,10.91338418352354,,
CMF2,2024-11-25,3,0.0,9.61,9.580467596390484,9.583164384966416,,
CORBL,2024-11-21,24,-2.523234146875356e-18,1258.286206896552,1257.4198552129208,1261.7035020889114,1322.8022727272728,0.05127296594138458
CORBL,2024-11-25,34,3.784851220313033e-18,1322.8022727272728,1316.36890070531,1250.2191887538584,,
CYCL,2024-11-21,46,0.0,1733.139655172414,1731.3223311773143,1731.4901182910828,1696.7695652173913,-0.020985089024118213
CYCL,2024-11-25,52,2.168404344971009e-18,1696.7695652173913,1697.4792136770454,1734.599404422989,,
